Category,Word,Overall Percentage,Percentage 1st named,3-5 yr. Percentage,3-5 yr. First Named ,6-8 yr.Percentage,6-8 yr.First Named ,9-12 yr. Percentage,9-12 yr.First Named,MeanRank,
Animals,Tiger,41.46,11.46,36.94,9.01,43.2,11.83,43.08,12.31,3.41,
Animals,Elephant,25.12,2.43,22.52,0.9,24.85,5.33,21.3,2.37,4.17,
Animals,Bird,20.98,1.95,20.72,1.8,19.53,2.37,17.75,1.18,5.26,
Animals,Horse,16.83,3.41,21.62,4.5,16.57,2.96,10.06,2.37,4.23,
Beverages,Water,61.02,10.41,64.6,11.5,57.8,9.25,62.2,11.02,3.12,glass of water
Beverages,Milk,55.93,13.32,60.18,15.93,52.02,13.29,57.48,11.02,2.97,
Beverages,Juice,47.7,16.46,55.75,23.01,45.09,13.87,44.09,14.17,2.34,
Beverages,Soda Pop,32.93,12.11,25.66,8.85,34.68,13.29,37.01,13.39,2.56,
Candy,Chocolate,34.49,17.87,30.28,19.27,37.5,19.64,34.13,13.49,1.96,
Candy,Lollipop,27.54,13.9,28.44,15.6,26.19,11.31,28.57,15.87,2,
Candy,Candy cane,12.16,6.45,18.35,9.17,11.31,7.14,7.94,3.17,2.04,
Candy,Gum,16.13,3.47,13.76,3.67,17.26,2.98,16.67,3.97,2.92,
Fruits,Apple,82.63,35.73,75.47,9.43,84.02,31.36,86.72,41.41,2.11,
Fruits,Orange,71.46,15.14,65.09,14.15,73.37,15.98,74.22,14.84,2.7,
Fruits,Banana,58.06,12.66,58.49,14.15,60.36,14.79,54.69,8.58,2.96,
Fruits,Strawberry,23.82,4.47,20.75,5.66,24.26,4.14,25.78,3.91,3.68,
Furniture,Chair,69.35,24.42,68,29,71.25,24.38,68,20.8,2.24,
Furniture,Couch,65.45,40.52,59,33,66.99,41.25,68.8,45.6,1.82,
Furniture,Table,58.18,5.97,50,7,61.25,7.5,60.8,3.2,3.13,
Furniture,Bed,35.58,2.33,23,1,37.5,1.88,43.2,4,3.99,
Grocery Store Items,Vegetables,27.5,7.75,21.9,4.76,27.98,8.93,31.5,8.66,2.86,
Grocery Store Items,Bread,18.75,3.5,18.1,4.76,21.43,2.38,15.75,3.94,3.83,
Grocery Store Items,Cereal,13.5,3,11.43,2.86,13.1,3.57,15.75,2.36,3.96,
