Category,Word,Overall Percentage,Percentage 1st named,3-5 yr. Percentage,3-5 yr. First Named ,6-8 yr.Percentage,6-8 yr.First Named ,9-12 yr. Percentage,9-12 yr.First Named,MeanRank,
Animals,Tiger,41.46,11.46,36.94,9.01,43.2,11.83,43.08,12.31,3.41,
Animals,Elephant,25.12,2.43,22.52,0.9,24.85,5.33,21.3,2.37,4.17,
Beverages,Water,61.02,10.41,64.6,11.5,57.8,9.25,62.2,11.02,3.12,glass of water
Beverages,Milk,55.93,13.32,60.18,15.93,52.02,13.29,57.48,11.02,2.97,
Candy,Chocolate,34.49,17.87,30.28,19.27,37.5,19.64,34.13,13.49,1.96,
Candy,Lollipop,27.54,13.9,28.44,15.6,26.19,11.31,28.57,15.87,2,
Fruits,Apple,82.63,35.73,75.47,9.43,84.02,31.36,86.72,41.41,2.11,
Fruits,Orange,71.46,15.14,65.09,14.15,73.37,15.98,74.22,14.84,2.7,
Furniture,Chair,69.35,24.42,68,29,71.25,24.38,68,20.8,2.24,
Furniture,Couch,65.45,40.52,59,33,66.99,41.25,68.8,45.6,1.82,
Grocery Store Items,Vegetables,27.5,7.75,21.9,4.76,27.98,8.93,31.5,8.66,2.86,
Grocery Store Items,Bread,18.75,3.5,18.1,4.76,21.43,2.38,15.75,3.94,3.83,
Insects,Ant,43.83,14.86,43.4,16.98,44.24,10.91,43.65,18.25,2.59,
Insects,Butterfly,38.29,7.56,39.62,9.43,37.58,7.88,38.1,5.56,3.21,
Jobs,Teacher,25.56,3.05,32.77,0.84,25,3.98,19.85,3.05,3.91,
Jobs,Doctor,15.49,2.82,12.61,4.2,17.05,1.7,16.03,3.05,3.3,
Musical Instruments,Guitar,61.71,16.37,55.96,17.43,65.24,15.24,62.1,16.94,2.73,
Musical Instruments,Flute,51.39,8.56,51.38,5.5,51.83,13.41,50.81,4.83,3.53,
Outside Games,Basketball,27.03,3.69,23.64,1.82,26.04,4.73,31.25,3.91,3.08,
Outside Games,Soccer ball,46.44,16.71,38.18,17.27,47.93,17.75,51.56,14.84,2.46,soccer ball
Parts of the Body,Leg,54.59,4.05,56,1,55.95,5.95,51.61,4.03,4.92,
Parts of the Body,Eye,47.45,4.34,51,7,44.05,3.57,49.19,3.22,4.83,
Pets,Dog,93.82,59.96,89.01,42.86,96.18,56.05,94.35,56.45,1.65,
Pets,Cat,91.13,23.66,91.21,31.87,91.08,20.38,91.13,21.77,2.1,
Pieces of Clothing,Pants,76.04,11.98,73.58,9.43,73.25,13.38,81.82,12.4,2.84,
Pieces of Clothing,Shirt,58.85,33.59,56.6,36.79,56.05,29.94,64.46,35.54,1.9,
Places to Play,Slide,40.39,25.3,40.18,25,32.56,19.19,51.18,33.86,1.75,
Places to Play,House,15.82,1.95,16.07,5.36,16.86,1.16,14.17,0,3.25,
Shapes,Triangle,89.11,31.39,88.24,34.31,90.36,28.92,88.19,32.28,2.4,
Shapes,Square,87.09,28.61,80.39,30.39,91.57,30.12,86.61,25.2,2.34,
Snacks,Crackers,28.29,12.9,22.64,7.55,26.04,13.02,35.94,17.19,2.26,
Snacks,Cookies,27.79,9.43,22.64,11.32,30.18,8.88,28.91,8.59,2.74,
Sports,Hockey stick,54.04,16.16,55.88,14.71,51.48,17.16,56,10,2.66,stick
Sports,Baseball bat,52.02,8.08,48.04,9.8,53.25,7.1,53.6,8,2.99,baseball/bat
Toys,Doll,18.92,4.42,15.32,2.7,22.62,5.36,17.19,4.69,2.82,
Toys,Teddy bears,6.14,2.7,4.5,1.8,4.76,2.38,9.38,3.91,2.2,
Vacation Activities,Sandcastle,19.11,8.64,13.4,6.19,21.74,8.07,20.16,11.29,2.04,sandcastle?
Vacation Activities,Pool,3.4,0.79,5.15,1.03,3.73,1.24,1.61,0,3,
Vegetables,Carrot,77.34,17.74,72.22,43.52,78.03,43.93,80.8,39.2,1.97,
Vegetables,Broccoli,51.48,20.44,50,16.67,49.71,19.08,55.2,25.6,2.15,
Vehicles,Car,69.74,40.77,64,39,55.49,32.93,92.86,52.38,1.74,
Vehicles,Truck,48.46,8.72,43,7,37.8,7.93,66.67,11.11,2.77,
Weather,Sun,87.84,31.02,82.08,29.25,85.96,22.81,95.24,43.65,2.29,
Weather,Cloud,63.28,6.45,55.66,3.77,60.82,5.85,73.02,9.52,3.11,
Household items,Money,,,,,,,,,,
Household items,TV,,,,,,,,,,
Nature,Moon,,,,,,,,,,
Nature,Tree,,,,,,,,,,
Games,Phone,,,,,,,,,,
Games,Puzzle,,,,,,,,,,
